Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
482,D'Ernest Johnson,2TM,RB,29,8,0,0,0,0,0,0,14,25,1.79,0,0,0,0,,0,0,0,0,,,3,2.5,2.5,2.5,,126,
483,Jacoby Jones,WAS,WR,24,1,0,0,0,0,0,0,0,0,,0,1,1,25,25,0,0,0,0,,,3,3.5,3.5,3,,199,
484,Velus Jones Jr.,2TM,WR,28,8,0,0,0,0,0,0,4,32,8,0,0,0,0,,0,0,0,0,,,3,3.2,3.2,3.2,,189,
485,Jonathan Mingo,DAL,WR,24,6,0,0,0,0,0,0,0,0,,0,5,1,25,25,0,0,0,0,,,3,3.5,3.5,3,,200,
486,James Mitchell,CAR,TE,26,5,0,0,0,0,0,0,0,0,,0,3,3,28,9.33,0,0,0,0,,,3,5.8,5.8,4.3,,99,
487,Nikko Remigio,KAN,WR,26,14,0,0,0,0,0,0,1,11,11,0,1,1,21,21,0,2,0,0,,,3,4.2,4.2,3.7,,190,
488,Ben Sims,2TM,TE,25,11,2,0,0,0,0,0,0,0,,0,6,3,30,10,0,0,0,0,,,3,6,6,4.5,,98,
489,Durham Smythe,CHI,TE,30,17,2,0,0,0,0,0,0,0,,0,6,4,25,6.25,0,0,0,0,,,3,6.5,6.5,4.5,,100,
490,Deven Thompkins,ATL,WR,26,7,0,0,0,0,0,0,1,5,5,0,3,3,27,9,0,0,0,0,,,3,6.2,6.2,4.7,,191,
491,Jordan Watkins,SFO,WR,23,4,0,0,0,0,0,0,0,0,,0,3,2,26,13,0,0,0,0,,,3,4.6,4.6,3.6,,196,
492,Justin Watson,HOU,WR,29,3,0,0,0,0,0,0,0,0,,0,4,3,30,10,0,0,0,0,,,3,6,6,4.5,,194,
493,Jake Bobo,SEA,WR,27,11,0,0,0,0,0,0,0,0,,0,2,2,20,10,0,0,0,0,,,2,4,4,3,,203,
494,Britain Covey,PHI,WR,28,6,0,0,0,0,0,0,0,0,,0,4,2,20,10,0,2,0,0,,,2,4,4,3,,204,
495,DeeJay Dallas,2TM,RB,27,6,0,0,0,0,0,0,3,21,7,0,1,0,0,,0,0,0,0,,,2,2.1,2.1,2.1,,128,
496,Joshua Dobbs,NWE,QB,30,4,0,7,10,65,0,0,10,-5,-0.5,0,0,0,0,,0,0,0,0,,,2,2.1,2.1,2.1,,66,
497,Clyde Edwards-Helaire,KAN,RB,26,2,0,0,0,0,0,0,7,13,1.86,0,2,2,9,4.5,0,0,0,0,,,2,4.2,4.2,3.2,,127,
498,Tucker Fisk,LAC,TE,26,10,7,0,0,0,0,0,0,0,,0,4,2,19,9.5,0,0,0,0,,,2,3.9,3.9,2.9,,103,
499,Roschon Johnson,CHI,RB,24,7,0,0,0,0,0,0,2,17,8.5,0,0,0,0,,0,0,0,0,,,2,1.7,1.7,1.7,,130,
